,ID,Count
0,18288,481.5537541740113
1,18289,384.30508943073835
2,18290,325.24047450130587
3,18291,268.7345845593988
4,18292,226.19471194070724
5,18293,202.48157836066395
6,18294,217.72267937331554
7,18295,252.50080094289143
8,18296,290.7704268432715
9,18297,375.7389231681536
10,18298,533.3187289216407
11,18299,591.2537395087545
12,18300,597.5179090434323
13,18301,528.458007206208
14,18302,565.0503418104178
15,18303,557.9132961930392
16,18304,543.6734353928978
17,18305,556.3386962007157
18,18306,570.0308700470052
19,18307,604.860337268505
20,18308,581.2498949923084
21,18309,542.5352734419243
22,18310,544.5035234323284
23,18311,531.6328800168166
24,18312,366.6000893219858
25,18313,292.5660508116247
26,18314,247.60099151925291
27,18315,204.58385351468456
28,18316,172.19884775658832
29,18317,154.146373213099
30,18318,165.7492087100152
31,18319,192.22530273554378
32,18320,221.35942982269063
33,18321,286.04474910897864
34,18322,406.0080353752397
35,18323,450.11314279473515
36,18324,454.88196681705
37,18325,402.30763640710484
38,18326,430.1648652587686
39,18327,424.7315329710493
40,18328,413.89092754327385
41,18329,423.5328121785548
42,18330,433.9564712437235
43,18331,460.47165399074663
44,18332,442.4973568902457
45,18333,413.02446088348114
46,18334,414.5228618740992
47,18335,404.7246223528409
48,18336,360.9505501242636
49,18337,288.0574229631155
50,18338,243.7853036683034
51,18339,201.4310869624726
52,18340,169.54515462191753
53,18341,151.77088012670959
54,18342,163.19490859151136
55,18343,189.2629892658254
56,18344,217.94814103145868
57,18345,281.63661864348273
58,18346,399.751194809039
59,18347,443.1766146331303
60,18348,447.87194806167327
61,18349,396.1078213289676
62,18350,423.53575266837913
63,18351,418.18615146700654
64,18352,407.5126066239803
65,18353,417.005903719941
66,18354,427.26892760746614
67,18355,453.37549462135865
68,18356,435.6781928053067
69,18357,406.6594927633292
70,18358,408.13480244716095
71,18359,398.48755999288755
72,18360,509.6927778003752
73,18361,406.7615024427647
74,18362,344.24551665270593
75,18363,284.4377719161429
76,18364,239.41213219397798
77,18365,214.31334972161426
78,18366,230.4450464315674
79,18367,267.2553863693822
80,18368,307.76125256079695
81,18369,397.69478239410535
82,18370,564.482577574943
83,18371,625.8029519300139
84,18372,632.4331607967662
85,18373,559.3378253395398
86,18374,598.0683897032451
87,18375,590.514299273093
88,18376,575.4423490623342
89,18377,588.8476893940185
90,18378,603.3399492120558
91,18379,640.2046351241886
92,18380,615.2145446004596
93,18381,574.237679964959
94,18382,576.320942313802
95,18383,562.6982180848474
96,18384,503.5782067880825
97,18385,401.881754877012
98,18386,340.11574721331874
99,18387,281.0254909682642
100,18388,236.5400050082209
101,18389,211.7423221284621
102,18390,227.6804936220929
103,18391,264.0492353122187
104,18392,304.0691695735976
105,18393,392.9238044754827
106,18394,557.7107162574655
107,18395,618.2954557363419
108,18396,624.8461247612368
109,18397,552.6276834621921
110,18398,590.8936134491458
111,18399,583.4301462814378
112,18400,568.5390079516226
113,18401,581.7835300238139
114,18402,596.1019322640208
115,18403,632.5243679625476
116,18404,607.8340730995899
117,18405,567.3487907654045
118,18406,569.4070610874344
119,18407,555.9477629816403
120,18408,518.8662796489691
121,18409,414.0824368509368
122,18410,350.4412820645922
123,18411,289.55711152645347
124,18412,243.72109581464252
125,18413,218.17058293243988
126,18414,234.59261954131875
127,18415,272.06547567746816
128,18416,313.3003705201999
129,18417,404.8525330634652
130,18418,574.6421917472885
131,18419,637.0662163638567
132,18420,643.815756396254
133,18421,569.4048437440078
134,18422,608.8324846982837
135,18423,601.1424349892411
136,18424,585.7992183035735
137,18425,599.4458292980373
138,18426,614.1989222650252
139,18427,651.7271024998012
140,18428,626.2872378148504
141,18429,584.5728674506919
142,18430,586.6936245646965
143,18431,572.8257171757283
144,18432,502.79873100696244
145,18433,401.25969242359747
146,18434,339.5892907778402
147,18435,280.59049882377826
148,18436,236.17387080565896
149,18437,211.41457162275623
150,18438,227.32807282981156
151,18439,263.6405202781391
152,18440,303.59850871045256
153,18441,392.31560780357415
154,18442,556.8474501543382
155,18443,617.3384120699826
156,18444,623.8789414824275
157,18445,551.772285255064
158,18446,589.9789843911493
159,18447,582.527069732708
160,18448,567.6589810137077
161,18449,580.8830022301262
162,18450,595.179241383011
163,18451,631.545299728162
164,18452,606.8932223389054
165,18453,566.4706061341235
166,18454,568.5256905123507
167,18455,555.0872257086394
168,18456,490.0679184189329
169,18457,391.0998379364062
170,18458,330.9909245704786
171,18459,273.4859760113335
172,18460,230.19397248452594
173,18461,206.06157623170265
174,18462,221.57214921123307
175,18463,256.96516919372056
176,18464,295.9114254342927
177,18465,382.38221662674346
178,18466,542.748129509993
179,18467,601.7074664394817
180,18468,608.0823903142802
181,18469,537.8014672683462
182,18470,575.0407766790545
183,18471,567.7775437397349
184,18472,553.2859135106848
185,18473,566.1751038586378
186,18474,580.1093636942628
187,18475,615.5546371511341
188,18476,591.5267478470773
189,18477,552.1276281618477
190,18478,554.1306780132189
191,18479,541.032473767732
192,18480,375.11493769612593
193,18481,299.36134528820065
194,18482,253.3519036479771
195,18483,209.33562674991913
196,18484,176.19842964856426
197,18485,157.72665874374528
198,18486,169.5989878601231
199,18487,196.69002970681504
200,18488,226.500841502683
201,18489,292.6885763687769
202,18490,415.43819363378356
203,18491,460.5677097022151
204,18492,465.4472969639718
205,18493,411.65184723395066
206,18494,440.1561028777638
207,18495,434.5965731287132
208,18496,423.50417804187873
209,18497,433.3700102104574
210,18498,444.03577471702897
211,18499,471.16681318062075
212,18500,452.7750355096006
213,18501,422.6175863672694
214,18502,424.15079001508906
215,18503,414.12497137891216
216,18504,369.4647636285211
217,18505,294.8522107803105
218,18506,249.53578700713638
219,18507,206.182505903939
220,18508,173.5444383037581
221,18509,155.35089871009447
222,18510,167.04440070082538
223,18511,193.72738334559193
224,18512,223.08916936611286
225,18513,288.27995053734526
226,18514,409.1806499518956
227,18515,453.6304020446788
228,18516,458.4364904541201
229,18517,405.4513354483948
230,18518,433.5262453374262
231,18519,428.05045608404635
232,18520,417.12514035548054
233,18521,426.84236828713745
234,18522,437.34747956460455
235,18523,464.0698563766618
236,18524,445.9551051175788
237,18525,416.25190298054054
238,18526,417.7620127266764
239,18527,407.8872081258576
240,18528,518.2075805169841
241,18529,413.55676048224205
242,18530,349.9963979444218
243,18531,289.18951967185916
244,18532,243.41169263976633
245,18533,217.89361605438512
246,18534,234.29480493874618
247,18535,271.7200894003081
